Model,Accuracy,Precision,Recall,F1_Score,AUC_ROC,MCC,CV_F1_Mean,CV_F1_Std,TN,FP,FN,TP,Train_Time_s
Random Forest,0.9619,0.9583,0.9659,0.9621,0.9937,0.9239,0.9657,0.0072,1095,48,39,1104,0.74
Random Forest (Tuned),0.9611,0.9567,0.9659,0.9613,0.9937,0.9222,0.9659,0.0,1093,50,39,1104,
MLP Neural Network,0.9576,0.958,0.9571,0.9575,0.99,0.9151,0.9595,0.006,1095,48,49,1094,13.49
Gradient Boosting,0.9567,0.9531,0.9606,0.9569,0.9922,0.9134,0.964,0.0088,1089,54,45,1098,12.6
SVM (RBF),0.9567,0.9563,0.9571,0.9567,0.9896,0.9134,0.9593,0.0063,1093,50,49,1094,9.66
KNN (k=5),0.9458,0.9529,0.9379,0.9453,0.978,0.8916,0.9383,0.0065,1090,53,71,1072,0.01
Logistic Regression,0.9405,0.9382,0.9431,0.9407,0.9842,0.881,0.9519,0.0067,1072,71,65,1078,0.33
AdaBoost,0.9366,0.9393,0.9335,0.9364,0.9858,0.8732,0.9499,0.0082,1074,69,76,1067,5.62
Decision Tree,0.93,0.9293,0.9309,0.9301,0.93,0.86,0.9345,0.0075,1062,81,79,1064,0.28
Naive Bayes,0.6868,0.9162,0.4112,0.5676,0.9186,0.4477,0.5578,0.0302,1100,43,673,470,0.02
