,importance
google_index,0.16955480944536125
page_rank,0.09847751242746561
nb_hyperlinks,0.0715373383702985
web_traffic,0.06497875274391554
nb_www,0.03776940478128346
ratio_extHyperlinks,0.02791564368579635
longest_word_path,0.02576793388711924
domain_age,0.024516243589648146
ratio_intHyperlinks,0.024384842895519312
safe_anchor,0.02225643214228599
hyperlink_diversity,0.019198237716475705
phish_hints,0.01790483546656603
high_page_rank,0.01744902858326091
ratio_digits_url,0.01620421804946207
ratio_extRedirection,0.015192389898215086
domain_trust_score,0.014240726218181217
length_url,0.013629158271674421
hostname_url_ratio,0.012674508344308283
domain_in_title,0.012604388507629669
length_hostname,0.012567334935754522
word_length_range,0.012523320404482695
links_in_tags,0.01191127033800577
longest_words_raw,0.011890610202797499
char_repeat,0.01175147451229406
length_words_raw,0.011247539002092072
ratio_digits_host,0.010605414082219823
domain_registration_length,0.010562267780509369
special_char_ratio,0.01007816620824289
shortest_word_host,0.009883825712781505
avg_word_path,0.009826947384071838
nb_dots,0.009627931452065495
url_complexity,0.008960204186036465
avg_words_raw,0.008864544252535743
path_depth,0.008132524288183878
shortest_word_path,0.008035343887884978
nb_slash,0.00769733191674448
nb_hyphens,0.0072342515334696145
avg_word_host,0.006870765284043807
ip,0.006535339728523649
longest_word_host,0.005752062808835809
shortest_words_raw,0.005553469363418943
domain_obfuscation,0.005453969511051334
domain_with_copyright,0.005178378331512095
nb_qm,0.004882230407833492
nb_eq,0.004557404318944613
url_len_cat,0.0045566984753947146
ratio_extMedia,0.004405674449682051
ratio_intMedia,0.004326028059821333
digit_heavy,0.0038727343734547555
ext_link_dominant,0.003371705846981799
ratio_extErrors,0.003367594240949336
nb_subdomains,0.003053496881367883
nb_extCSS,0.0030223799092224334
nb_redirection,0.0026095436183387307
redirection_intensity,0.0024940687190239627
domain_in_brand,0.0023252426749988675
suspicious_structure,0.002285938497411916
deep_subdomain,0.0020758215706664367
shortening_service,0.00203504283639919
nb_underscore,0.0018164617857177718
empty_title,0.0017805731397346728
external_favicon,0.0016331939823944304
https_token,0.0016327294937624388
new_domain,0.0012972183135798968
suspecious_tld,0.0011572696336447016
prefix_suffix,0.0011545035792221697
nb_and,0.001099397133028344
nb_percent,0.0010936226350143408
nb_space,0.0009497588088664028
short_avg_word,0.0009115419163342999
http_in_path,0.0008850506874075925
dns_record,0.000875307678794133
statistical_report,0.0007773916705102488
whois_registered_domain,0.0007519960949369704
tld_in_subdomain,0.0007440201685697693
login_form,0.0007274150390228916
nb_com,0.0006701152988082669
random_domain,0.0006008765312862274
nb_colon,0.0005480964036277521
nb_semicolumn,0.0005104805371181366
tld_in_path,0.0004790384706160086
abnormal_subdomain,0.00043596434285705763
nb_at,0.00022670267714349816
nb_dslash,0.00022320908314023762
port,0.00018348174191158296
brand_in_path,0.0001457623254956513
popup_window,0.00012915347130823562
iframe,6.50081485400438e-05
nb_tilde,5.690112272951059e-05
right_clic,5.0883396659746885e-05
brand_in_subdomain,4.085888514686705e-05
brand_impersonation,3.218211019491357e-05
nb_comma,2.5764539124508277e-05
path_extension,2.08531272618138e-05
nb_external_redirection,1.169127288907964e-05
onmouseover,1.0457087645195157e-05
punycode,1.4583051747585934e-06
nb_dollar,1.312348263320058e-06
nb_star,0.0
